STN1,STN2,Weight,Bins,Frequency,Intervals
FL,JOB,13,,,
MET,DUI,13,,,
GDG,UBL,13,,,
CPH,NIA,13,,,
CPH,RIG,13,,,
CPA,CNB,13,,,
MXN,FKG,13,,,
MCI,SKZR,13,,,
BCA,DSS,13,,,
MAU,MMA,13,,,
SNP,NUR,13,,,
MAN,MHD,13,,,
NMH,COR,13,,,
SGNR,ABS,13,,,
ALLP,KYJ,13,,,
ALLP,ERS,13,,,
SV,BTT,13,,,
GHR,JMU,13,,,
BURN,JOC,13,,,
SM,MLDT,13,,,
TMR,TRO,13,,,
HWH,ASN,13,,,
NJP,JPE,13,,,
GJL,AMRO,13,,,
TA,TIR,13,,,
TA,PGI,13,,,
DUI,NBA,13,,,
BYNR,BTJL,13,,,
BINA,MABA,13,,,
