DMO,ANA,12.77
DMP,KMTI,6
DMP,SWO,6
DMT,CMZ,16.73
DMT,KSTE,6.33
DMU,HT,2
DMU,MGT,6
DMV,KHKT,5.97
DMV,RXRX,6.09
DMW,BRRZ,12.73
DMW,BYQ,13.35
DMZ,TMH,8.69
DMZ,CAT,9.17
BHVP,WWA,4.44
BHVP,NBRL,6.08
BSBR,RJG,6.78
BSBP,ULB,4.11
BSBP,KGY,3.5
BSBY,SOP,4.69
BSBY,BSB,1.1
BSBY,LOT,4.63
MSMD,BLSN,8.59
MSMD,ARN,8.16
SABD,KEV,4.41
SABD,BXN,7.53
PSJ,BUF,8
PSJ,CPE,8
KURO,ON,11.04
KURO,ACH,4.09
JLW,NKJ,8.33
JLW,RPD,11.94
JLQ,PLS,9.66
JLQ,RHN,4.5
PSO,UNL,8.61
PSO,ASL,8.68
PSL,GAL,6.24
PSL,AWR,13.53
JLR,DJI,13.85
JLR,CKE,9.06
JLR,NUD,5.76
JLR,JTP,7
PSB,DSME,6.55
PSB,YDD,4.64
KLJI,CLKA,5.29
KLJI,KIT,4.78
PSA,PUN,12.29
PSA,SUDV,6.64
JLY,MQQ,4
JLY,UIH,6
PSD,KAJG,5.29
PSD,RGO,12.53
PSE,MTGE,7.94
PSE,KTQ,8.85
PSZ,BJT,5.8
PSZ,BHSA,4.17
JLD,GHT,4.43
JLD,SUJ,9.25
JLG,KDBR,7.42
JLG,PRWA,2.93
PSR,BRKD,5.56
PSR,GAI,8.08
PSS,MLB,9.72
PSS,LAUL,3.69
NRLR,RPRD,6.7
NRLR,LJR,11.31
JLN,JRO,7.02
JLN,DUA,11.56
PSV,STNR,12
PSV,RJR,10
PST,DRWN,6.84
PST,GHAA,5.96
HNA,MANK,24.92
HNA,KT,19.29
BCN,KVG,9
BCN,SAGR,6
BCH,KONY,4.8
BCH,PUO,11.67
HND,SSPR,9.42
HND,NBT,4.35
OMLF,ADF,13.68
OMLF,MLDT,5.7
BCK,SMCK,5.9
BCK,DUAN,3.22
BCD,CATA,3.57
BCD,BUI,9.25
HNH,THN,5.95
HNH,KAG,4.9
HNK,MYA,10.11
HNK,MAD,9.06
HNM,SKAR,7.68
HNM,BGHI,8.57
BCA,FAH,4.02
BCA,MPNH,4.35
BCA,STJT,6.42
BCB,MLBN,4.58
BCB,SDMD,3.28
HNN,SNP,5.32
HNN,RDDE,5.03
HNS,AUN,7.19
HNS,MAYR,7.91
HNR,BPJ,5
HNR,DUT,2
HNU,SGZ,6.91
HNU,SVA,6.79
BCY,SRNT,6.64
BCY,BSB,4
BCT,MX,5.69
BCU,LHK,4.47
BCU,JNSC,6.87
BCP,IDH,8.68
BCP,RAI,9.35
BCQ,STN,3.78
BCQ,ASN,5.15
BPF,BIF,7.41
BPF,DKI,8.2
KYSD,DNW,4
KYSD,UMN,4
KYSB,DNW,3.98
KYSB,UMN,4.06
SRB,JMP,4.94
SRB,DRTP,1.42
SRC,RMJ,7.45
SRC,MRGM,4.82
SRC,PDPK,2.88
SRA,CHAH,8.02
SRA,SGL,10.06
SRF,KNLE,15.33
SRF,BGV,10.3
NEMA,PFT,3.74
NEMA,NDW,1.24
SRE,PKY,7.72
SRE,TPZ,6.62
SRE,KWT,2.65
SRJ,MJHR,9.77
SRJ,LOG,9.79
SRK,BKC,9.7
SRK,MWT,19.13
SRI,MFA,5.39
SRI,MENP,3.57
SRO,ASCE,6.72
SRO,SJT,9.48
SRL,AKR,5.77
SRL,RNJD,10.01
JBCN,BSPX,3.46
JBCN,MMVR,5.13
SRR,VTK,4.11
SRR,KRKD,5.45
SRR,SRRB,0.1
SRP,RIS,5.8
SRP,SHE,2.62
SRW,ZPR,10
SRW,DPT,11
SRT,NLL,9.77
SRT,TY,11.53
SRU,POKL,5.04
SRU,LRD,9.49
SRZ,SHWL,7
SRZ,SHWl,7.3
SRZ,SRPR,5
SRX,BBSL,3.94
SRX,KRE,7.67
BPN,HRSR,3
BPN,MIJ,6
HLZ,BAAR,10.56
TDK,PUT,7.05
TDK,PUDI,9.39
NMT,MZA,6.74
NMT,AGI,11.43
TDH,RTG,12
TDH,GBE,7
TDH,SGUD,30
TDO,CGH,6.12
TDO,KZX,15.22
TDN,TMQ,10.64
TDN,MDU,6.68
NMP,KGP,6.36
NMP,NPTY,1.04
NMP,KKQ,1.94
TDL,MTI,6
TDL,ETUE,4.03
TDL,HNG,8.76
HLX,BHZ,5.36
HLX,SQF,4.79
NMZ,DDM,5.83
RNBT,TIG,7.69
RNBT,MRBL,10.54
TDD,BPY,5.97
TDD,PTPU,5.33
NMF,MYM,2.72
NMF,RSLR,3.19
NMG,BLME,5.52
NMG,PNME,7.59
NMD,NNW,9.66
NMD,MLZ,7.06
MYG,LKD,8
MYG,KSPR,8
NMA,PRBR,6
NMN,TYM,9.68
NMN,PDKT,6.04
NMO,PEI,3.33
NMO,MTL,5.27
NML,VZM,11.75
NML,GUL,7.53
NMM,BLRE,5.74
NMM,MSMI,10.76
NMJ,KDE,8.32
NMJ,MQ,13.41
NMJ,KYV,5.21
NMK,BAGA,9.15
NMK,MADA,9.27
RNBD,SKR,2.54
RNBD,RWO,10.76
LOA,CHD,8.93
LOA,UMR,10.02
LOG,MFX,6.43
PDKM,ETP,3.97
PDKM,ATU,11.53
LOL,CNO,13.88
LOL,AT,11.29
LOM,BNGO,5.66
LOM,BLRG,9.92
DKRA,BWM,10.2
DKRA,JHW,6.23
LOV,UAM,4
PDKT,VEL,11.41
LOT,BNKT,4.88
FHT,FAR,3.04
TJP,PLW,6.51
TJP,SVT,9.66
KTMA,HRV,8
KTMA,BATL,10
PIGT,SHDR,9.5
PIGT,PGA,5.88
RJW,ABLE,4.72
RJW,JJR,12.19
ALPR,KRNT,7.53
ALPR,SBBJ,2.29
RJT,KHDI,10.84
RJT,BKNG,6.09
RJT,RJT,0
RJT,BLWR,9.57
RJT,RGSR,0
RJS,AS,15.75
RJS,BDWL,13.2
RJR,PYI,10
RJQ,LKMN,3
RJQ,RAU,5
RJP,PMT,10
RJP,HAQ,5.17
KGMR,SMLT,8
KGMR,KGRA,5
RJY,GVN,3.13
RJY,KVR,7.52
RJY,KYM,10.02
NOQ,NBS,10.76
NOQ,SMTA,10.55
RJG,NGF,6.08
RJD,JRV,7
RJD,AVH,4
RJB,CRP,4
RJB,TKB,4.8
RJA,MGPI,5.15
RJA,LLPR,4.13
RJO,HTZU,2.73
RJO,BTPH,0.97
RJN,BAKL,10.48
RJN,PMS,8.03
RJL,MRLI,6.9
RJK,JRJ,8.28
RJK,KD,6.01
RJI,ARJ,8.45
